Country Name,Country Code,"GDP per capita, PPP (constant 2011 international $)","Primary completion rate, total (% of relevant age group)",Urban population (% of total)
French Polynesia,PYF,..,..,56.218
Gabon,GAB,18031.85913,..,86.367
"Gambia, The",GMB,1584.178315,70.33337,57.706
Georgia,GEO,6702.375754,108.14023,53.162
Germany,DEU,43266.16665,98.01374,74.688
Ghana,GHA,3667.801359,98.17003,52.069
Greece,GRC,25242.71872,..,77
Greenland,GRL,..,..,85.2
Grenada,GRD,11048.2948,..,35.601
Guam,GUM,..,..,94.273
Guatemala,GTM,6985.205623,..,50.212
Guinea,GIN,1216.049792,61.47962,35.748
Guinea-Bissau,GNB,1390.638016,..,46.924
Guyana,GUY,6053.658711,85.25553,28.319
Haiti,HTI,1602.814496,..,54.841
Honduras,HND,4422.544596,100.09345,52.93
"Hong Kong SAR, China",HKG,50271.62926,98.32348,100
Hungary,HUN,22517.10284,98.78033,69.832
Iceland,ISL,40154.43843,..,93.84
India,IND,5050.107803,..,31.631
Indonesia,IDN,8855.011804,104.54415,51.488
"Iran, Islamic Rep.",IRN,16233.52952,102.22383,71.769
Iraq,IRQ,14244.34613,..,69.175
Ireland,IRL,44935.13818,..,62.386
Isle of Man,IMY,..,..,52.042
Israel,ISR,30599.77073,..,91.949
Italy,ITA,35008.35875,..,68.56
Jamaica,JAM,8520.894971,..,54.127
Japan,JPN,34987.60818,102.05727,91.902
Jordan,JOR,11340.27002,..,82.97
Kazakhstan,KAZ,21505.65122,101.48057,53.458
Kenya,KEN,2628.044938,..,24.37
Kiribati,KIR,1771.526148,..,43.948
"Korea, Dem. Rep.",PRK,..,..,60.436
"Korea, Rep.",KOR,31901.07293,110.5282,82.141
Kosovo,KSV,8426.159759,..,..
Kuwait,KWT,84187.7069,..,98.294
Kyrgyz Republic,KGZ,2869.838962,97.66953,35.403
Lao PDR,LAO,4381.149728,95.12193,35.368
Latvia,LVA,20747.29305,103.32355,67.548
Lebanon,LBN,16632.87123,86.19635,87.426
Lesotho,LSO,2390.261533,72.46844,25.76
Liberia,LBR,782.3872543,..,48.541
Libya,LBY,23032.09551,..,77.988
Liechtenstein,LIE,..,..,14.365
Lithuania,LTU,23460.50956,98.18307,66.604
Luxembourg,LUX,88011.08623,..,89.247
"Macao SAR, China",MAC,125484.7865,..,100
"Macedonia, FYR",MKD,11268.37706,74.4617,56.959
Madagascar,MDG,1374.18888,69.53569,33.196
Malawi,MWI,739.8621504,74.23594,15.798
Malaysia,MYS,21920.22247,..,72.526
Maldives,MDV,11090.26355,..,42.303
Mali,MLI,1602.660429,58.69324,37.579
Malta,MLT,28271.08395,87.53351,94.991
Marshall Islands,MHL,3671.801455,..,71.891
Mauritania,MRT,2828.052918,68.68995,58
Mauritius,MUS,16195.75604,99.34342,40.164
Mexico,MEX,16316.33437,99.12121,78.407
"Micronesia, Fed. Sts.",FSM,3427.757139,..,22.317
Moldova,MDA,4150.527184,89.63885,44.857
Monaco,MCO,..,..,100
Mongolia,MNG,8297.053739,130.21947,69.472
Montenegro,MNE,13701.14242,100.96815,63.457
Morocco,MAR,6776.720464,99.30597,58.697
Mozambique,MOZ,1020.415419,52.18582,31.417
Myanmar,MMR,..,..,32.469
